#O
Vnum 610
Nest 0
Name loaf of elvenbread~
ShD  a loaf of `Oelvenbread`X~
Desc A loaf of `Oelvenbread`X~
ItemType 19
ExtraFlags 262144
WearFlags 1
WearLoc -1
Weight 0
Timer 0
Cost 0
Values 2 10 0 0
End

#O
Vnum 610
Nest 0
Name loaf of elvenbread~
ShD  a loaf of `Oelvenbread`X~
Desc A loaf of `Oelvenbread`X~
ItemType 19
ExtraFlags 262144
WearFlags 1
WearLoc -1
Weight 0
Timer 0
Cost 0
Values 2 10 0 0
End

#O
Vnum 610
Nest 0
Name loaf of elvenbread~
ShD  a loaf of `Oelvenbread`X~
Desc A loaf of `Oelvenbread`X~
ItemType 19
ExtraFlags 262144
WearFlags 1
WearLoc -1
Weight 0
Timer 0
Cost 0
Values 2 10 0 0
End

#O
Vnum 610
Nest 0
Name loaf of elvenbread~
ShD  a loaf of `Oelvenbread`X~
Desc A loaf of `Oelvenbread`X~
ItemType 19
ExtraFlags 262144
WearFlags 1
WearLoc -1
Weight 0
Timer 0
Cost 0
Values 2 10 0 0
End

#O
Vnum 610
Nest 0
Name loaf of elvenbread~
ShD  a loaf of `Oelvenbread`X~
Desc A loaf of `Oelvenbread`X~
ItemType 19
ExtraFlags 262144
WearFlags 1
WearLoc -1
Weight 0
Timer 0
Cost 0
Values 2 10 0 0
End

#O
Vnum 610
Nest 0
Name loaf of elvenbread~
ShD  a loaf of `Oelvenbread`X~
Desc A loaf of `Oelvenbread`X~
ItemType 19
ExtraFlags 262144
WearFlags 1
WearLoc -1
Weight 0
Timer 0
Cost 0
Values 2 10 0 0
End

#O
Vnum 610
Nest 0
Name loaf of elvenbread~
ShD  a loaf of `Oelvenbread`X~
Desc A loaf of `Oelvenbread`X~
ItemType 19
ExtraFlags 262144
WearFlags 1
WearLoc -1
Weight 0
Timer 0
Cost 0
Values 2 10 0 0
End

#O
Vnum 610
Nest 0
Name loaf of elvenbread~
ShD  a loaf of `Oelvenbread`X~
Desc A loaf of `Oelvenbread`X~
ItemType 19
ExtraFlags 262144
WearFlags 1
WearLoc -1
Weight 0
Timer 0
Cost 0
Values 2 10 0 0
End

#O
Vnum 610
Nest 0
Name loaf of elvenbread~
ShD  a loaf of `Oelvenbread`X~
Desc A loaf of `Oelvenbread`X~
ItemType 19
ExtraFlags 262144
WearFlags 1
WearLoc -1
Weight 0
Timer 0
Cost 0
Values 2 10 0 0
End

#END
